"seed","scenario","method","predictor","selected","empty"
6,"sys2 (U = 95)","lmICP","Station5_mp_93",FALSE,FALSE
6,"sys2 (U = 95)","rangerICP","Station5_mp_90",TRUE,FALSE
6,"sys2 (U = 95)","rangerICP","Station5_mp_97",TRUE,FALSE
6,"sys2 (U = 95)","rangerICP","Station5_mp_91",FALSE,FALSE
6,"sys2 (U = 95)","rangerICP","Station5_mp_93",FALSE,FALSE
7,"sys1 baseline","lmICP","Station5_mp_82",TRUE,FALSE
7,"sys1 baseline","lmICP","Station5_mp_89",FALSE,FALSE
7,"sys1 baseline","lmICP","Station5_mp_83",FALSE,FALSE
7,"sys1 baseline","lmICP","Station5_mp_86",FALSE,FALSE
7,"sys1 baseline","rangerICP","Station5_mp_82",TRUE,FALSE
7,"sys1 baseline","rangerICP","Station5_mp_89",FALSE,FALSE
7,"sys1 baseline","rangerICP","Station5_mp_83",FALSE,FALSE
7,"sys1 baseline","rangerICP","Station5_mp_86",FALSE,FALSE
7,"sys1 hide 82","lmICP","Station5_mp_89",FALSE,TRUE
7,"sys1 hide 82","lmICP","Station5_mp_83",FALSE,TRUE
7,"sys1 hide 82","lmICP","Station5_mp_86",FALSE,TRUE
7,"sys1 hide 82","rangerICP","Station5_mp_89",FALSE,TRUE
7,"sys1 hide 82","rangerICP","Station5_mp_83",FALSE,TRUE
7,"sys1 hide 82","rangerICP","Station5_mp_86",FALSE,TRUE
7,"sys1 hide 89","lmICP","Station5_mp_82",TRUE,FALSE
7,"sys1 hide 89","lmICP","Station5_mp_83",TRUE,FALSE
7,"sys1 hide 89","lmICP","Station5_mp_86",FALSE,FALSE
7,"sys1 hide 89","rangerICP","Station5_mp_82",TRUE,FALSE
7,"sys1 hide 89","rangerICP","Station5_mp_83",TRUE,FALSE
7,"sys1 hide 89","rangerICP","Station5_mp_86",FALSE,FALSE
7,"sys1 hide 83","lmICP","Station5_mp_82",TRUE,FALSE
7,"sys1 hide 83","lmICP","Station5_mp_89",TRUE,FALSE
7,"sys1 hide 83","lmICP","Station5_mp_86",FALSE,FALSE
7,"sys1 hide 83","rangerICP","Station5_mp_82",TRUE,FALSE
7,"sys1 hide 83","rangerICP","Station5_mp_89",TRUE,FALSE
7,"sys1 hide 83","rangerICP","Station5_mp_86",FALSE,FALSE
7,"sys2 (U = 95)","lmICP","Station5_mp_90",FALSE,FALSE
7,"sys2 (U = 95)","lmICP","Station5_mp_97",TRUE,FALSE
7,"sys2 (U = 95)","lmICP","Station5_mp_91",FALSE,FALSE
7,"sys2 (U = 95)","lmICP","Station5_mp_93",FALSE,FALSE
7,"sys2 (U = 95)","rangerICP","Station5_mp_90",FALSE,FALSE
7,"sys2 (U = 95)","rangerICP","Station5_mp_97",TRUE,FALSE
7,"sys2 (U = 95)","rangerICP","Station5_mp_91",FALSE,FALSE
7,"sys2 (U = 95)","rangerICP","Station5_mp_93",FALSE,FALSE
8,"sys1 baseline","lmICP","Station5_mp_82",TRUE,FALSE
8,"sys1 baseline","lmICP","Station5_mp_89",FALSE,FALSE
8,"sys1 baseline","lmICP","Station5_mp_83",FALSE,FALSE
8,"sys1 baseline","lmICP","Station5_mp_86",FALSE,FALSE
8,"sys1 baseline","rangerICP","Station5_mp_82",TRUE,FALSE
8,"sys1 baseline","rangerICP","Station5_mp_89",TRUE,FALSE
8,"sys1 baseline","rangerICP","Station5_mp_83",FALSE,FALSE
8,"sys1 baseline","rangerICP","Station5_mp_86",FALSE,FALSE
8,"sys1 hide 82","lmICP","Station5_mp_89",FALSE,TRUE
8,"sys1 hide 82","lmICP","Station5_mp_83",FALSE,TRUE
8,"sys1 hide 82","lmICP","Station5_mp_86",FALSE,TRUE
8,"sys1 hide 82","rangerICP","Station5_mp_89",FALSE,TRUE
8,"sys1 hide 82","rangerICP","Station5_mp_83",FALSE,TRUE
8,"sys1 hide 82","rangerICP","Station5_mp_86",FALSE,TRUE
8,"sys1 hide 89","lmICP","Station5_mp_82",TRUE,FALSE
8,"sys1 hide 89","lmICP","Station5_mp_83",TRUE,FALSE
8,"sys1 hide 89","lmICP","Station5_mp_86",FALSE,FALSE
8,"sys1 hide 89","rangerICP","Station5_mp_82",FALSE,TRUE
8,"sys1 hide 89","rangerICP","Station5_mp_83",FALSE,TRUE
8,"sys1 hide 89","rangerICP","Station5_mp_86",FALSE,TRUE
8,"sys1 hide 83","lmICP","Station5_mp_82",TRUE,FALSE
8,"sys1 hide 83","lmICP","Station5_mp_89",TRUE,FALSE
8,"sys1 hide 83","lmICP","Station5_mp_86",FALSE,FALSE
8,"sys1 hide 83","rangerICP","Station5_mp_82",TRUE,FALSE
8,"sys1 hide 83","rangerICP","Station5_mp_89",TRUE,FALSE
8,"sys1 hide 83","rangerICP","Station5_mp_86",FALSE,FALSE
8,"sys2 (U = 95)","lmICP","Station5_mp_90",TRUE,FALSE
8,"sys2 (U = 95)","lmICP","Station5_mp_97",TRUE,FALSE
8,"sys2 (U = 95)","lmICP","Station5_mp_91",FALSE,FALSE
8,"sys2 (U = 95)","lmICP","Station5_mp_93",FALSE,FALSE
8,"sys2 (U = 95)","rangerICP","Station5_mp_90",FALSE,FALSE
8,"sys2 (U = 95)","rangerICP","Station5_mp_97",TRUE,FALSE
8,"sys2 (U = 95)","rangerICP","Station5_mp_91",FALSE,FALSE
8,"sys2 (U = 95)","rangerICP","Station5_mp_93",FALSE,FALSE
9,"sys1 baseline","lmICP","Station5_mp_82",TRUE,FALSE
9,"sys1 baseline","lmICP","Station5_mp_89",FALSE,FALSE
9,"sys1 baseline","lmICP","Station5_mp_83",FALSE,FALSE
9,"sys1 baseline","lmICP","Station5_mp_86",FALSE,FALSE
9,"sys1 baseline","rangerICP","Station5_mp_82",TRUE,FALSE
9,"sys1 baseline","rangerICP","Station5_mp_89",TRUE,FALSE
9,"sys1 baseline","rangerICP","Station5_mp_83",FALSE,FALSE
